text,is_gaming
i am a computer with a potato spec and cheap for younger siblings,0
i need a pc or potato computer,0
potato pc for my sister who is still elementary school,0
cheap pc for my best friend gift,0
i want to assemble a good low budget pc,0
want to buy a friendly pc for students,0
i need a pc that can be used to watch netflix,0
need a pc that can be used for watching anime until night,0
i need a pc to make a company's financial statements,0
i require a strong computer to make a report on the committee's activities,0
i want to make a cheap pc,0
i need a pc for cheap school activities and campuses,0
want a computer with a normal specs that isn't expensive,0
i need a long -lasting computer to write a thesis,0
i need a computer to type the story,0
want to play zuma on a pc with family,0
i need a computer for children who are not expensive,0
again as speeding pc low prices,0
want to buy a pc whose price is populist and not expensive,0
just want to play the internet and browse ordinary,0
want to buy an ordinary computer for beginners,0
want to buy a computer or pc spec old output,0
want a very cheap pc,0
i want a computer that isn't expensive,0
need a computer to write a story,0
i am an accounting child just need a computer for excel,0
i am a secretary who needs a pc for company administration activities,0
just an pc is operated to send an email every day,0
i want to watch youtube on my new pc,0
need a computer for beginners who have never had,0
want to have a family computer that can be used by a family,0
need a computer that is only used for internet,0
i work as a marketing party who needs a pc for sending catalogs via email,0
i am a student who needs a pc for online lecture activities,0
i want to use my pc to do vidcall to my brother,0
i need a computer as a contact person who receives a chat,0
i need a computer to chat,0
i need a pc that can be used for online presentations,0
i want to buy my mama pc as a writer,0
my sister needs a pc that will be used for school and print assignments,0
i need a good computer but my budget is limited and not much,0
i want to play valo on my pc,1
i am a professional valorant player,1
i am a pubg youtuber who wants to use my pc for streaming,1
i want to play dota on my pc and for a long time,1
i am a dota 2 player i want to play the game on my pc,1
i want to use my pc to become a vtuber,1
i am a league of legends player and i want to record my gameplay,1
i want to play the nba game on my pc,1
i want to install nba2k22 on my pc to play,1
i am a lover of pes and want to play pes games on my pc,1
i want to play fifa on my computer and record it,1
want to buy pro evolution soccer to be installed on my pc,1
want to play watchdog but don't know what specs need,1
want to play gta but don't have a strong pc,1
how to find a pc spec for playing grand theft auto,1
i want to play dbd on my pc,1
"i want to play the death by daylight game on my pc, i need a strong one",1
i want to download many games from epic games and play,1
i want to play games from my steam like minecraft,1
i am a streamer who wants to create video content,1
i will stream on youtube to make money,1
"i am a big apex player, i want my pc to be strong",1
way so that the pc can be strong playing apex legend,1
pc specifications that can be smooth streaming no lag,1
i want to be a streamer on twitch,1
i have a contract for streaming valorant on nimo tv,1
i want to stream gaming and chat on twitch,1
i want to be a gaming youtuber,1
i am a dkv student who has a product packaging design project,1
im an animator who wants to make an animated video,1
i want to make a videography for youtube,1
i want to use photosop and corel for my graphic design,1
again need a strong pc to edit a job photo,1
want to use adobe photoshop on my pc for college,1
i am a video editor that usually uses adobe premiere as my editing application,1
i want to use after effects for my film project,1
i want to make an animated and transition video for d post on instagram,1
i want to make a cinematographic video for campus needs,1
i want to use vegas pro to edit video,1
i want to coding my company program,1
i am a website maker who often has a project,1
i want to make applications like games etc.,1
i do a company accounting software coding,1
i am a freelance who often works on it application projects,1
i am informatics engineering students who often do coding,1
i am an informatics engineering student who needs a pc for programming,1
i am an information engineering student in need of a good computer,1
i am a data science expert that uses a lot of data,1
i study in information systems and need a pc for coding and uiux,1
i often do live streams on youtube for my content,1
i did a live stream for several platforms,1
i need a heat -resistant computer and can be used for a long time,1
i often make content so i need a pc that can upload to youtube in fast time,1
i often do screen recording when i play games,1
i work as an it department of staff who is often told to do coding,1
i work as a freelance programmer who works solo,1
i am a staff of the business intelligence department,1
i am an it machine learning student,1
i use android studio for the sake of working,1
i want to be a programmer using visual studio code as an editor,1
visual studio code is the software that i often use everyday,1
i want to explore uiux and use my pc for it,1
i work as ui designer and use my pc for ui design,1
i am the developer app who will use a computer for coding,1
it many of my projects need heavy software,1
i work on it projects as developers of app,1
i work as a programmer in making a laundry application,1
i work in the field of software manufacturing,1
i want to play pes games online,1
i want to play elden ring or monster hunter,1
i want to play fortnite for a long time,1
i only use my pc to study,0
i am a non it student who needs a pc,0
i want to use my pc to write a thesis,0
i often make proposals for my activities,0
i want to write a novel with my pc,0
i need to make my biology school assignment papers,0
i want to do my assignment on a computer,0
i go to school online so i need a pc for zoom,0
i am a writer who wants to use my pc as a place to store my writing data,0
i wrote a drama script in college,0
i am the maker of the novel who wants the novel to be spread on a pc,0
i need a computer to learn school material,0
i want to watch the drama on my pc,0
i want to watch with my friends with the projector,0
i often follow webinar in zoom,0
the class that i followed using an online application,0
i often hold company meetings through zoom meetings,0
my company often met online,0
i am a student who only uses my pc for assignments,0
i want study using my pc,0
im a student from international school,0
i write books and novels online,0
i often listen to songs on my pc or computer,0
i am a korean drama audience on netflix i want to watch on a pc,0
i want to watch drakor via download,0
i want to subscribe to netflix on my pc device,0
i often watch movies streaming,0
i want to read comics and articles on pc,0
i want to make up stories on pc,0
i want to make a report on a pc,0
i made my thesis on pc,0
i want to write a musical drama script in my high school,0
i want to use my pc to give a review on my blog,0
i want to make a podcast in spotify,0
i want to do my assignment on my kuliag on pc,0
i want to do the test that is held online,0
i want to do the job online to be completed faster,0
i work on a quiz on a pc so that it will be finished faster,0
i follow the class zoom every day on pc,0
i am the treasurer who made bookkeeping on a pc,0
i want to make my computer drama script to be safe,0
i want to have a strong gaming pc,1
i often play games on my pc,1
i want to play games on my pc and computer,1
i wanna play genshin in my pc,1
want to buy a top pc,1
buy a god specification pc for long term,1
want high quality pcs,1
want a computer with a fast speed that is not lag,1
need a pc with fast specifications,1
need a pc that supports with high fps games,1
i am a design student need a high pc spec,1
want a fierce pc and okay for the game,1
want to have a pc that can give a high performance,1
pc with high gaming abilities,1
i want a pc to use the chat application with a coworker,0
i need a computer for young children who are just learning,0
need a pc for my elementary school children,0
i want a pc for junior high school kids,0
using microsoft office in daily work activities,0
using word in artiker writing,0
i use excel in making my general accounting journal,0
i want to make a presentation through my pc online,0
i want a presentation with my pc,0
i need a computer to collect assignments,0
i need a pc to save school material,0
i need a pc for school needs,0
i want to open a recipe on a computer,0
i want to watch a cooking video on a computer,0
i need a computer to watch a cooking tutorial,0
i want to use a computer to watch a tutorial,0
i want to write a recipe on a computer,0
i want to browse on a pc,0
want to browse the internet,0
i want to use a computer to browse the internet,0
i want to pour out the internet on a computer,0
i want to use a computer for education,0
i want to use a computer for children's education,0
i want to use a computer to teach online,0
i need a computer to teach,0
i need a computer for accounting,0
i need a computer to learn biology,0
i want to learn chemistry on a computer,0
i need a computer to learn physics,0
i need a computer to learn mathematics,0
i want to learn literature on a computer,0
i need a computer to learn indonesian,0
i need a pc to help lessons,0
computers for elementary schools,0
computers for all subjects,0
pc to make a transaction,0
i need a computer to shop online,0
pc for beginners,0
my sister wants to learn to use microsoft office,0
i am freelance who wants to do data entry,0
i work as a review maker want to save my data on a computer,0
i want to play social media on my pc,0
need a pc for my graphics design,1
i need a pc that supports my job as an analyst business,1
butuh pc buat buka office,0
saya butuh pc yang bisa buka excel,0
saya butuh komputer cuma buat ngetik,0
saya menggunakan pc saya untuk editing poster dan juga desain grafis,1
aku mau menggunakan pc ini untuk game online berat seperti cod,1
saya adalah content creator yang sering buat video,1
saya menggunakan aplikasi premiere dan after effect,1
mama saya mau menggunakan laptop ini untuk membuat video wedding,1
saya ingin pc yang kuat untuk editing,1
saya mau pc yang bisa digunakan untuk bermain jangka panjang,1
